aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,Class,Ph,Turbidity
1.38,18.97,0.04,1.47,0.006,1.78,0.03,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,49.53,2.73,0.09,0.11,0.04,0,5.564342491,2.285987849
2.73,19.42,0.02,1.78,0.005,1.97,0.74,0.18,0.13,0.79,0.79,0.132,9.4,1.68,0.006,25.97,6.35,0,0.17,0.06,1,7.886591227,4.589983508
3.02,8.17,0.001,3.76,0.004,3.4,0.29,1.28,0.32,0.53,0.53,0.175,0.8,1.09,0.007,8.33,6.53,0.01,0.32,0.02,1,7.443189014,2.664832796
1.96,16.66,0.001,2.93,0.008,4.41,0.71,1.14,1.14,0.45,0.004,0.045,8.62,1.34,0.01,46.2,7.02,0.02,0.42,0.04,0,3.657123133,3.31462973
2.35,14.14,0.02,2.86,0.009,5.27,0.01,0.71,0.52,0.39,0.007,0.146,7.72,1.57,0.003,27.48,2.92,0.07,0.41,0.01,1,9.597191857,5.145152871
2.45,27.89,0.02,3.25,0.004,3.35,0.77,1.99,0.22,0.25,0.008,0.085,3.29,1.88,0.008,15.08,2.35,0.09,0.09,0.03,1,6.964225943,3.990437572
2.67,18.79,0.02,0.07,0.004,2.69,0.31,1.21,1.21,0.83,0.83,0.105,8.23,1.59,0.003,36.31,6.11,0.04,0.34,0.05,0,7.672909523,4.268227482
1.12,14.79,0.04,3.08,0.007,6.06,0.68,1.3,0.5,0.1,0.008,0.036,2.08,1.69,0.008,54.32,0.86,0.01,0.19,0.02,0,6.737004072,4.063170289
3.3,9.33,0.04,1.28,0.008,7.56,0.22,0.95,0.28,0.53,0.53,0.182,18.6,1.21,0.009,3.26,0.28,0.08,0.08,0.09,1,8,4.135745329
0.43,28.29,0.01,0.88,0.005,3.55,0.65,0.01,0.43,0.27,0.007,0.033,5.85,1.28,0.001,52.7,5.14,0.01,0.06,0.05,0,5.382489039,4.173330283
1.19,25.95,0.01,0.75,0.008,0.13,0.18,1.44,0.3,0.18,0.004,0.162,2.31,1.36,0.008,38.31,5.41,0.01,0.32,0,1,7.022952113,4.971907099
0.85,10.38,0.05,0.17,0.006,7.52,0.89,0.52,0.32,0.31,0.002,0.11,3.55,1.79,0,6.24,4.15,0.01,0.1,0.02,1,8,2.969136099
4.64,22.51,0.04,2.97,0.007,6.57,0.41,1.44,0.58,0.96,0.96,0.191,9.99,1.9,0.008,48.08,6.53,0.02,0.21,0.08,0,10.02622381,3.736228471
0.5,9.32,0.03,2.99,0.004,3.57,0.85,1.01,0.68,0.11,0.006,0.127,15.08,1.36,0.006,21.89,2.24,0,0.12,0.01,1,5.583832998,3.870156921
4.75,15.62,0.02,3.18,0.002,1.28,0.52,1.64,0.86,0.64,0.64,0.032,10.07,1.74,0.006,54.15,6.46,0.03,0.35,0.06,0,7.952929116,5.260014766
1.89,15.42,0.05,1.38,0.001,6.02,0.33,0.22,0.01,0.76,0.76,0.052,14.91,1.06,0.009,21.87,4.74,0.01,0.26,0.05,1,5.500186641,4.178478951
3.75,17.69,0.04,1.87,0.006,1.12,0.38,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,5.73,1.08,0.04,0.03,0.01,1,7.543700466,3.630536578
3.32,21.84,0.03,3.45,0.008,6.1,0.23,0.76,1.16,0.79,0.79,0.049,16.88,1.4,0.006,59.03,4.29,0.07,0.08,0,0,6.848331559,4.396604556
1.75,13.74,0.01,1.36,0.001,0.19,0.51,1.5,0.69,0.82,0.82,0.053,1.08,1.24,0.005,8.65,6.98,0.05,0.15,0.07,1,8,3.779554492
0.94,2.84,0.01,3.54,0.005,1.85,0.15,1.99,1.29,0.86,0.86,0.047,7.52,1.5,0.002,46.24,3.95,0.04,0.14,0.02,1,5.910251729,3.660922908
2.66,22.84,0.01,2.09,0.005,3.32,0.79,1.57,0.66,0.58,0.58,0.071,13.52,1.58,0.008,30.98,3.32,0.05,0.32,0.06,0,8.716820334,3.205128767
2.76,4.15,0.02,2,0.005,4.25,0.19,1.23,0.86,0.87,0.87,0.019,16.16,1.18,0.007,34.48,1.62,0.01,0.21,0.08,1,6.016889136,4.422269233
0.43,13.55,0.03,3.28,0.001,2.38,0.17,0.25,1.25,0.7,0.7,0.129,15.72,1.81,0.003,10.88,5.41,0.03,0.11,0.07,1,9.567822726,4.197919055
2.63,19.11,0.02,1.74,0.007,1.89,0.69,0.87,0.69,0.55,0.55,0.153,5.91,1.31,0.007,39.05,4.15,0.01,0.38,0.08,1,4.296247024,4.163328982
2.85,23.02,0.03,2.24,0.004,0.46,0.02,1.77,0.62,0.14,0.006,0.137,14.86,1.19,0.004,27.85,7.6,0.01,0.45,0.05,0,3.551579177,3.96599397
0.04,13.18,0.02,2.44,0.001,4.8,0.33,0.73,0.68,0.45,0.006,0.053,17.71,1.73,0.008,58.4,6.6,0.1,0.06,0.04,0,8.529669348,3.776040837
0.88,11.12,0.04,0.92,0.009,4.59,0.85,1.1,1.48,0.75,0.75,0.147,8.25,1.38,0.007,10.75,1.2,0.02,0.27,0.02,1,8.065339036,3.756391707
3.03,9.19,0.05,0.65,0.006,6.25,0.61,0.77,0.76,0.51,0.51,0.086,10.31,1.17,0,31.57,6.36,0.02,0.17,0.08,1,9.158445163,4.525236731
2.22,29.68,0.03,2.86,0.006,4.54,0.72,0.14,1.42,1,1,0.082,11.3,1.46,0.006,33.09,4.96,0,0.16,0.05,0,8.848586283,4.014681858
4.91,18.02,0.04,0.13,0.005,5.22,0.84,0.62,0.97,0.23,0.006,0.12,8.9,1.3,0.003,6.87,5.77,0.01,0.03,0.07,1,9.495456382,4.168541279
1.15,20.06,0.02,2.73,0.005,1.86,0.81,0.36,0.73,0.47,0,0.003,14.01,1.36,0.005,10.62,4.48,0.03,0.38,0.02,1,8.052893916,3.634844542
4.8,11.92,0.05,3.2,0.006,7.37,0.46,1.43,1.49,0.58,0.58,0.16,6.03,1.25,0,33.02,6.74,0,0.42,0,1,2.798549099,3.663252222
0.47,26.77,0.02,0.29,0.006,7.36,0.15,1.65,0.08,0.51,0.51,0.025,13.73,1.53,0.002,30.29,4.41,0.08,0.34,0.06,0,6.425873866,3.731936503
1.62,6.54,0.01,1.46,0.001,3.07,0.11,0.05,1.21,0.33,0.001,0.015,1.72,1.02,0.001,3.47,6.28,0.09,0.47,0.01,1,7.757269666,4.165432286
2.68,9.61,0.02,1.32,0.007,2.89,0.69,0.16,0.87,0.67,0.67,0.18,11.22,1.65,0.003,28.47,7.28,0.07,0.12,0.01,1,7.748654706,2.511810493
0.09,12.26,0.04,3.61,0.001,3.58,0.47,0.13,1.29,0.82,0.82,0.072,12.75,1.37,0.006,32.48,1.45,0.02,0.31,0.04,1,5.117390303,3.937188442
4.66,0.27,0.04,0.16,0.001,6.75,0.09,1.72,0.89,0.09,0.005,0.184,10.2,1.47,0.001,25.77,5.26,0,0.1,0.08,1,7.481535362,4.262065437
2.74,14.81,0.02,3.84,0.005,7.97,0.25,0.65,0.73,0.53,0.53,0.132,4.13,1.14,0.007,33.97,2.2,0.05,0.05,0.05,1,5.374222585,3.642778438
1.79,16.6,0.03,2.36,0.001,3.2,0.42,1.67,1.21,0.65,0.65,0.042,10.34,1.51,0.005,45.87,0.25,0.06,0.12,0.05,0,7.063646976,3.39586624
2.5,10.25,0.03,1.5,0.005,3.11,0.52,1.89,1.18,0.75,0.75,0.092,7.08,1.66,0.002,45.37,3.4,0.07,0.29,0.07,0,6.876451043,4.545340927
3.52,2.07,0.04,2.46,0.007,1.33,0.32,0.94,0.26,0.28,0.009,0.023,10.78,1.37,0.003,22.9,4.23,0.06,0.03,0.04,1,4.812433652,3.0209959
4.15,19.07,0.001,1.99,0.006,4.43,0.84,0.85,1.01,0.19,0.008,0.045,2.09,1.22,0.005,50.87,4.14,0.01,0.02,0.01,0,4.993530734,3.153809337
3.78,19.17,0.05,0.76,0.006,6.6,0.7,0.29,0.5,0.7,0.7,0.136,18.77,1.99,0.001,35.36,3.09,0.02,0.38,0.02,0,4.788861062,2.896852186
1.82,9.2,0.01,1.74,0.009,0.63,0.3,1.7,0.29,0.78,0.78,0.185,12.75,1.66,0.006,33.24,2.58,0.03,0.4,0.04,1,4.037287739,3.04504857
2.91,5.19,0.02,2.66,0.008,5.07,0.33,0.72,0.42,0.75,0.75,0.07,12.32,1.26,0.005,21.38,3.49,0,0.38,0.03,1,6.505872509,4.497528597
4.3,16.35,0.03,2.9,0.008,5.14,0.29,1.5,0.25,0.02,0,0.083,6.22,1.91,0.009,50.04,1.39,0.02,0.11,0,0,6.779773967,2.729104523
3.24,2.01,0.001,1.6,0.002,0.4,0.24,1.52,0.76,0.57,0.57,0.155,7.89,1.91,0.002,58.58,3.04,0.1,0.2,0.08,0,6.952511674,4.105495485
3.53,5.43,0.04,2.34,0.002,4.13,0.7,1.51,0.89,0.55,0.55,0.164,8.49,1.49,0.001,37.15,0.25,0.08,0.01,0.09,1,5.628406919,5.050683115
3.04,22.29,0.05,1.87,0.001,2.52,0.46,0.24,0.66,0.09,0.008,0.17,16.17,1.51,0.006,14.55,0.68,0.02,0.09,0.02,1,5.966000489,4.177139266
2.21,29.72,0.02,1.4,0.008,3.71,0.47,1.16,1.06,0.82,0.82,0.12,6.63,1.57,0.001,4.28,7.9,0.04,0.5,0.04,1,6.319431545,2.653126688
2.47,25.2,0.04,1.01,0.008,2.78,0.04,0.87,0.16,0.41,0.003,0.043,6.83,1.42,0.008,46.06,5.99,0.02,0.4,0.05,0,8.02724787,3.480640837
1.92,19.73,0.03,1.11,0.008,1.87,0.16,0.02,0.04,0.76,0.76,0.198,10.69,1.33,0.006,15.3,4.8,0.06,0.41,0.02,1,8.882684452,3.827920867
1.22,23.18,0.04,3.65,0.001,4.43,0.63,1.94,1.27,0.08,0.008,0.194,13.32,1.93,0.005,23.84,4.8,0.08,0.22,0.07,0,5.991283475,4.840562301
2.12,23.58,0.001,0.57,0.003,4.3,0.82,1.57,0.43,0.04,0.003,0.089,14.77,1.97,0.005,0.91,5.11,0.03,0.2,0.03,1,10.27244427,3.179884727
4.19,23.37,0.05,1.65,0.006,7.09,0.47,1.95,1.38,0.46,0.003,0.191,18.27,1.03,0.009,29.38,2.4,0.05,0.35,0.02,0,,4.728123985
4.21,17.84,0.01,3.94,0.008,2.26,0.03,1.4,0.5,0.28,0.005,0.044,2.71,1.8,0.001,1.02,7.9,0.04,0.28,0.03,1,6.105140135,3.103089844
4.07,10.36,0.01,3.29,0.003,0.41,0.39,0.55,1.27,0.61,0.61,0.087,16.37,1.1,0.009,53.02,2.53,0.09,0.37,0.05,0,9.443358884,3.486646409
2.56,1.36,0.04,3.45,0.003,3.42,0.03,1.39,1.12,0.1,0.001,0.108,9.36,1.58,0.009,42.15,4.39,0.02,0.11,0.07,1,6.887414371,4.564188355
3.55,26.04,0.03,1.94,0.005,0.01,0.34,0.37,1.29,0.62,0.62,0.122,12.41,1.05,0.007,49.82,2.73,0.04,0.03,0.08,0,6.512900833,4.404040365
3.94,21.58,0.04,2.9,0.006,5.65,0.08,0.35,1.43,0.71,0.71,0.061,17.79,1.04,0.004,6.89,2.9,0.05,0.46,0.03,1,5.772718095,6.494249467
1.22,1.36,0.01,3.2,0.001,5.72,0.45,1.45,0.52,0.18,0.003,0.088,0.86,1.51,0.007,49.49,6.59,0.01,0.34,0.01,1,4.912557262,4.897372508
0.8,13.59,0.03,3.16,0.002,0.89,0.2,1.06,0.53,0.96,0.96,0.158,11.57,1.64,0.002,35.76,3.42,0.03,0.15,0.03,1,9.739561949,2.568079877
3.31,19.49,0.04,1.36,0.002,1.57,0.45,0.5,0.74,0.5,0.5,0.074,18.64,1.41,0.008,8.41,3.22,0.05,0.32,0.04,1,5.541979019,3.672975983
2.59,27.47,0.01,1.8,0.003,2.74,0.8,0.27,0.93,0.5,0.5,0.07,15.93,1.44,0.002,11.49,4.16,0.06,0.11,0.02,1,8,3.601735481
3.9,9.79,0.001,1.6,0.008,0.79,0.34,0.01,0.01,0.5,0.5,0.148,10.33,1.95,0.007,47.93,1.23,0.06,0.01,0.02,1,8,3.451740047
3.15,17.13,0.01,2.63,0.003,7.8,0.4,1.24,0.92,0.42,0.006,0.172,6.13,1.06,0.004,37.72,5.9,0.08,0.21,0.01,0,6.448931033,3.622195522
0.18,11.66,0.04,0.86,0.005,3.49,0.8,1.54,0.32,0.33,0.006,0.041,18.58,1.36,0.009,57.74,7.25,0.06,0.28,0.08,0,5.477912295,3.774256121
3.86,11.02,0.01,3.64,0.003,3.83,0.14,1.04,1.39,0.07,0.006,0.176,3.45,1.15,0.008,53.68,6.42,0.03,0.43,0.05,0,8.544708662,2.31815248
1.25,5.66,0.001,0.87,0.006,3.81,0.15,0.33,1.33,0.59,0.59,0.136,11.06,1.92,0.008,50.93,4.39,0.01,0.39,0.01,0,7.378597016,3.215219463
0.18,4.08,0.04,0.57,0.006,1.69,0.27,0.6,0.07,0.79,0.79,0.164,0.65,1.14,0.01,53.23,3.44,0.06,0.44,0.04,1,6.66400305,2.227727884
2.29,16.05,0.01,0.29,0.006,5.07,0.19,1.64,0.61,1,1,0.038,11.26,1.49,0.006,45.26,4.33,0.02,0.28,0.08,0,6.775582812,4.333636278
0.07,14.96,0.01,0.17,0.002,6.21,0,0.81,0.24,0.15,0.005,0.005,16.78,1.58,0.002,18.68,1.67,0.04,0,0.03,1,8.736371211,3.802116117
2.71,27.52,0.01,3.15,0.003,1.07,0.13,1.69,0.98,0.28,0.004,0.181,5.92,1.79,0.008,17.62,2.65,0.07,0.4,0.01,1,7.146976296,4.025762216
4.18,29.27,0.05,1.03,0.003,0.5,0.77,1.51,0.36,0.78,0.78,0.159,13.48,1.59,0.008,46.26,6.2,0.07,0.12,0.07,0,,5.652222113
4.34,1.34,0.02,1.82,0.005,3.95,0.8,1.99,0.48,0.33,0.001,0.05,17.88,1.28,0,22.76,6.66,0.09,0.16,0,1,5.040331692,3.603325615
